Package,Package Version,arn
pymongo,4.6.1,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-pymongo:2
mangum,0.17.0,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-mangum:1
fastapi,0.108.0,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-fastapi:2
matplotlib,3.8.2,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-matplotlib:5
selenium,4.16.0,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-selenium:4
jinja2,3.1.2,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-jinja2:1
python-docx,1.1.0,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-python-docx:1
psycopg,3.1.16,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-psycopg:2
extract-msg,0.47.0,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-extract-msg:1
idna,3.6,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-idna:2
aws-psycopg2,1.3.8,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-aws-psycopg2:1
google-cloud-bigquery,3.14.1,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-google-cloud-bigquery:1
pandas,2.1.4,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-pandas:6
dynamodb-encryption-sdk,3.2.0,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-dynamodb-encryption-sdk:6
aws-requests-auth,0.4.3,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-aws-requests-auth:4
boto3,1.34.11,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-boto3:6
pyqldb,3.2.3,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-pyqldb:6
numpy,1.26.2,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-numpy:4
requests,2.31.0,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-requests:4
polars,0.20.2,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-polars:3
redshift-connector,2.0.918,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-redshift-connector:6
XlsxWriter,3.1.9,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-XlsxWriter:1
tabulate,0.9.0,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-tabulate:1
pydantic,2.5.3,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-pydantic:3
elasticsearch,8.11.1,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-elasticsearch:4
zeep,4.2.1,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-zeep:3
paramiko,3.4.0,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-paramiko:3
xlsx2csv,0.8.2,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-xlsx2csv:1
mysql-connector-python,8.2.0,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-mysql-connector-python:2
requests-html,0.10.0,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-requests-html:5
cryptography,41.0.7,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-cryptography:4
Pillow,10.1.0,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-Pillow:2
beautifulsoup4,4.12.2,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-beautifulsoup4:2
sqlmodel,0.0.14,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-sqlmodel:1
bcrypt,4.1.2,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-bcrypt:3
pymysql,1.1.0,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-pymysql:1
aws-xray-sdk,2.12.1,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-aws-xray-sdk:6
s3fs,2023.12.2,arn:aws:lambda:ap-northeast-2:770693421928:layer:Klayers-p311-s3fs:3
